make,model,variant,year,age,engine_cc,transmission,fuel_type,mileage_km,registered_city,bonnet,roof,trunk,front_left_door,front_right_door,rear_left_door,rear_right_door,front_left_fender,front_right_fender,rear_left_fender,rear_right_fender,pieces_paint_no_putty,pieces_with_putty,pieces_replaced,total_pieces_damaged,seals_intact,accidental,is_total_genuine,price_in_lacs,price_pkr
Suzuki,Swift (Old),DLX 1.3,2019,5,1300,Manual,Petrol,36916,Rawalpindi,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,3,0,0,3,1,0,0,18.95,1895000
Suzuki,Every,PA / Join,2022,2,660,Automatic,Petrol,28001,Lahore,putty,touchup_no_putty,touchup_no_putty,touchup_no_putty,touchup_no_putty,putty,touchup_no_putty,putty,putty,putty,touchup_no_putty,6,5,0,11,1,0,0,14.25,1425000
KIA,Sportage,FWD,2023,1,2000,Automatic,Petrol,6751,Faisalabad,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,64.7,6470000
Nissan,Dayz,Highway Star,2015,9,660,Automatic,Petrol,105114,Rawalpindi,touchup_no_putty,genuine,putty,replaced,putty,touchup_no_putty,replaced,putty,touchup_no_putty,touchup_no_putty,replaced,4,3,3,10,1,0,0,9.7,970000
Honda,City,Aspire 1.5 Prosmatec,2021,3,1500,Automatic,Petrol,39922,Rawalpindi,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,genuine,genuine,genuine,genuine,genuine,2,0,0,2,1,0,0,33.0,3300000
Hyundai,Sonata,2.5,2021,3,2500,Automatic,Petrol,37280,Islamabad,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,touchup_no_putty,touchup_no_putty,3,0,0,3,1,0,0,90.65,9065000
KIA,Sportage,AWD,2023,1,2000,Automatic,Petrol,3000,Karachi,genuine,touchup_no_putty,genuine,genuine,genuine,touchup_no_putty,genuine,touchup_no_putty,genuine,genuine,genuine,3,0,0,3,1,0,0,68.9,6890000
Honda,City,i-DSI 1.3,2007,17,1300,Manual,Petrol,224126,Islamabad,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,8.8,880000
Toyota,Yaris,ATIV 1.3 CVT,2021,3,1300,Automatic,Petrol,42030,Islamabad,replaced,putty,putty,replaced,touchup_no_putty,replaced,genuine,replaced,replaced,putty,replaced,1,3,6,10,1,1,0,16.55,1655000
Honda,BR-V,i-VTEC S,2018,6,1500,Automatic,Petrol,72790,Islamabad,genuine,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,genuine,genuine,genuine,touchup_no_putty,3,0,0,3,1,0,0,30.2,3020000
Toyota,Corolla,GLi 1.3 Automatic,2019,5,1300,Automatic,Petrol,94423,Peshawar,genuine,genuine,genuine,genuine,genuine,genuine,putty,touchup_no_putty,genuine,touchup_no_putty,touchup_no_putty,3,1,0,4,1,0,0,26.75,2675000
Toyota,Vitz,F 1.0,2018,6,1000,Automatic,Petrol,69697,Rawalpindi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,22.95,2295000
Suzuki,Alto,VXR,2021,3,660,Manual,Petrol,40719,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,22.25,2225000
Toyota,Hilux,Revo Rocco,2022,2,2800,Automatic,Diesel,31112,Faisalabad,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,141.15,14115000
Suzuki,Swift,GLX CVT,2022,2,1200,Automatic,Petrol,33902,Rawalpindi,putty,genuine,touchup_no_putty,putty,putty,putty,putty,putty,putty,putty,putty,1,9,0,10,1,0,0,24.8,2480000
Suzuki,Every,PA / Join,2021,3,660,Automatic,Petrol,38725,Islamabad,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,24.25,2425000
Suzuki,Alto,VXL AGS,2019,5,660,Automatic,Petrol,46566,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,25.65,2565000
Suzuki,Alto,VXL AGS,2024,0,660,Automatic,Petrol,2379,Peshawar,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,genuine,genuine,genuine,2,0,0,2,1,0,0,29.15,2915000
Suzuki,Bolan,VX Euro II,2017,7,800,Manual,Petrol,97719,Karachi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,10.25,1025000
Honda,Civic,1.8 i-VTEC Oriel (X),2016,8,1800,Automatic,Petrol,81117,Lahore,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,touchup_no_putty,genuine,genuine,genuine,genuine,3,0,0,3,1,0,0,36.85,3685000
Suzuki,Bolan,VX Euro II,2012,12,800,Manual,Petrol,155988,Lahore,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,touchup_no_putty,genuine,genuine,genuine,3,0,0,3,1,0,0,8.45,845000
Toyota,Prius,1.8 S,2016,8,1800,Automatic,Hybrid,121965,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,34.15,3415000
Daihatsu,Cuore,CX Eco,2009,15,800,Manual,Petrol,177849,Peshawar,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,6.15,615000
Suzuki,Alto,VXR,2019,5,660,Manual,Petrol,51263,Islamabad,putty,genuine,genuine,genuine,genuine,genuine,putty,genuine,genuine,genuine,putty,0,3,0,3,1,0,0,18.5,1850000
Suzuki,Swift,GLX CVT,2024,0,1200,Automatic,Petrol,3018,Rawalpindi,genuine,genuine,genuine,genuine,putty,genuine,genuine,genuine,genuine,genuine,genuine,0,1,0,1,1,0,0,44.45,4445000
Toyota,Yaris,ATIV 1.3 CVT,2020,4,1300,Automatic,Petrol,64243,Islamabad,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,touchup_no_putty,touchup_no_putty,genuine,genuine,genuine,3,0,0,3,1,0,0,38.4,3840000
Toyota,Yaris,ATIV X 1.5 CVT,2022,2,1500,Automatic,Petrol,36357,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,50.35,5035000
Honda,City,1.3 i-VTEC,2020,4,1300,Manual,Petrol,59578,Rawalpindi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,26.85,2685000
Suzuki,Cultus,VXL,2020,4,1000,Manual,Petrol,47152,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,1,0,0,1,1,0,0,29.65,2965000
Toyota,Vitz,F 1.0,2014,10,1000,Automatic,Petrol,115221,Karachi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,1,0,0,1,1,0,0,17.25,1725000
Suzuki,Cultus (Old),Euro II,2014,10,1000,Manual,Petrol,164536,Islamabad,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,2,0,0,2,1,0,0,8.35,835000
Nissan,Dayz,Highway Star,2019,5,660,Automatic,Petrol,62032,Rawalpindi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,22.85,2285000
Suzuki,Swift,GLX CVT,2022,2,1200,Automatic,Petrol,24184,Lahore,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,touchup_no_putty,genuine,genuine,touchup_no_putty,genuine,3,0,0,3,1,0,0,41.95,4195000
Honda,BR-V,i-VTEC S,2018,6,1500,Automatic,Petrol,91148,Faisalabad,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,2,0,0,2,1,0,0,30.65,3065000
Honda,Civic,Oriel 1.5 Turbo (11th Gen),2022,2,1500,Automatic,Petrol,40638,Islamabad,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,83.25,8325000
Daihatsu,Cuore,CX Eco,2010,14,800,Manual,Petrol,161717,Lahore,putty,genuine,genuine,touchup_no_putty,putty,genuine,putty,genuine,genuine,genuine,genuine,1,3,0,4,1,0,0,5.15,515000
Toyota,Fortuner,Sigma 4 2.8 Diesel,2023,1,2800,Automatic,Diesel,24326,Karachi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,175.3,17530000
Honda,Civic,Reborn 1.8 Prosmatec,2007,17,1800,Automatic,Petrol,259553,Rawalpindi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,genuine,2,0,0,2,1,0,0,9.65,965000
Hyundai,Elantra,GLS 2.0,2021,3,2000,Automatic,Petrol,33451,Karachi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,1,0,0,1,1,0,0,56.4,5640000
Honda,City,i-DSI 1.3,2005,19,1300,Manual,Petrol,287655,Islamabad,genuine,touchup_no_putty,genuine,genuine,putty,genuine,genuine,putty,touchup_no_putty,genuine,genuine,2,2,0,4,1,0,0,8.0,800000
KIA,Stonic,EX+,2024,0,1400,Automatic,Petrol,1977,Islamabad,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,genuine,genuine,3,0,0,3,1,0,0,52.45,5245000
Daihatsu,Cuore,CX Eco,2004,20,800,Manual,Petrol,219809,Peshawar,putty,genuine,putty,putty,replaced,putty,putty,putty,touchup_no_putty,putty,touchup_no_putty,2,7,1,10,1,0,0,3.8,380000
Daihatsu,Mira,ES,2015,9,660,Automatic,Petrol,123705,Karachi,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,touchup_no_putty,genuine,genuine,touchup_no_putty,3,0,0,3,1,0,0,15.6,1560000
Suzuki,Every,PA / Join,2021,3,660,Automatic,Petrol,43052,Rawalpindi,putty,genuine,genuine,touchup_no_putty,touchup_no_putty,putty,putty,replaced,touchup_no_putty,touchup_no_putty,putty,4,4,1,9,1,0,0,14.2,1420000
Toyota,Fortuner,Sigma 4 2.8 Diesel,2019,5,2800,Automatic,Diesel,75135,Lahore,putty,genuine,putty,touchup_no_putty,putty,putty,touchup_no_putty,genuine,touchup_no_putty,genuine,genuine,3,4,0,7,1,0,0,111.6,11160000
Honda,Civic,Oriel 1.5 Turbo (11th Gen),2024,0,1500,Automatic,Petrol,4014,Gujranwala,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,1,1,0,0,82.3,8230000
Honda,Civic,Reborn 1.8 Prosmatec,2012,12,1800,Automatic,Petrol,171295,Islamabad,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,1,0,0,1,1,0,0,13.45,1345000
Toyota,Aqua,Hybrid S,2017,7,1500,Automatic,Hybrid,90502,Rawalpindi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,26.15,2615000
Toyota,Corolla,GLi 1.3,2017,7,1300,Manual,Petrol,81591,Rawalpindi,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,1,1,0,0,24.15,2415000
Toyota,Corolla,GLi 1.3 Automatic,2014,10,1300,Automatic,Petrol,147734,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,24.5,2450000
Honda,Civic,1.8 i-VTEC Oriel (X),2020,4,1800,Automatic,Petrol,51001,Rawalpindi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,48.35,4835000
Suzuki,Swift (Old),DLX 1.3,2015,9,1300,Manual,Petrol,121662,Islamabad,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,15.45,1545000
Toyota,Yaris,ATIV X 1.5 CVT,2022,2,1500,Automatic,Petrol,28858,Peshawar,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,46.35,4635000
Daihatsu,Mira,ES,2021,3,660,Automatic,Petrol,36227,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,putty,genuine,putty,genuine,0,2,0,2,1,0,0,25.55,2555000
KIA,Sportage,AWD,2021,3,2000,Automatic,Petrol,58650,Lahore,touchup_no_putty,replaced,putty,putty,putty,putty,putty,putty,touchup_no_putty,putty,putty,2,8,1,11,0,1,0,22.75,2275000
MG,HS,Exclusive 1.5 Turbo,2024,0,1500,Automatic,Petrol,5965,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,68.1,6810000
Honda,City,i-DSI 1.3,2007,17,1300,Manual,Petrol,230730,Lahore,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,genuine,3,0,0,3,1,0,0,8.0,800000
Toyota,Corolla,Altis Grande 1.8,2018,6,1800,Automatic,Petrol,86336,Rawalpindi,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,2,0,0,2,1,0,0,57.4,5740000
Toyota,Corolla,GLi 1.3,2013,11,1300,Manual,Petrol,159200,Islamabad,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,22.1,2210000
Hyundai,Elantra,GLS 2.0,2024,0,2000,Automatic,Petrol,2670,Karachi,touchup_no_putty,genuine,touchup_no_putty,touchup_no_putty,replaced,touchup_no_putty,touchup_no_putty,putty,putty,putty,touchup_no_putty,6,3,1,10,1,0,0,43.5,4350000
Hyundai,Elantra,GLS 2.0,2022,2,2000,Automatic,Petrol,15891,Rawalpindi,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,touchup_no_putty,genuine,genuine,genuine,genuine,2,0,0,2,1,0,0,58.8,5880000
Daihatsu,Cuore,CX Eco,2005,19,800,Manual,Petrol,273456,Rawalpindi,genuine,genuine,genuine,putty,genuine,putty,genuine,genuine,putty,genuine,putty,0,4,0,4,1,0,0,4.15,415000
Toyota,Vitz,F 1.0,2013,11,1000,Automatic,Petrol,166573,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,17.1,1710000
Honda,City,1.5 Aspire CVT (New Shape),2024,0,1500,Automatic,Petrol,6184,Islamabad,genuine,genuine,genuine,putty,genuine,touchup_no_putty,genuine,touchup_no_putty,genuine,genuine,genuine,2,1,0,3,1,0,0,52.5,5250000
Toyota,Hilux,Revo Rocco,2019,5,2800,Automatic,Diesel,74427,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,136.65,13665000
Honda,Civic,1.8 i-VTEC Oriel (X),2016,8,1800,Automatic,Petrol,80884,Karachi,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,touchup_no_putty,genuine,genuine,touchup_no_putty,genuine,3,0,0,3,1,0,0,36.7,3670000
Suzuki,Every,PA / Join,2017,7,660,Automatic,Petrol,69697,Rawalpindi,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,putty,genuine,genuine,genuine,genuine,1,1,0,2,1,0,0,16.7,1670000
Honda,Civic,RS Turbo 1.5,2020,4,1500,Automatic,Petrol,54656,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,1,0,0,1,1,0,0,59.25,5925000
Hyundai,Tucson,AWD,2022,2,2000,Automatic,Petrol,25117,Lahore,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,2,0,0,2,1,0,0,72.95,7295000
Hyundai,Sonata,2.5,2021,3,2500,Automatic,Petrol,16338,Lahore,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,genuine,genuine,1,0,0,1,1,0,0,91.35,9135000
Honda,City,1.5 Aspire CVT (New Shape),2022,2,1500,Automatic,Petrol,41460,Lahore,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,3,0,0,3,1,0,0,48.8,4880000
Suzuki,Cultus,Auto Gear Shift,2019,5,1000,Automatic,Petrol,59034,Peshawar,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,2,0,0,2,1,0,0,30.15,3015000
Toyota,Yaris,ATIV 1.3 CVT,2023,1,1300,Automatic,Petrol,17537,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,44.2,4420000
Honda,City,1.5 Aspire CVT (New Shape),2021,3,1500,Automatic,Petrol,48306,Rawalpindi,putty,genuine,putty,putty,touchup_no_putty,putty,touchup_no_putty,touchup_no_putty,putty,touchup_no_putty,putty,4,6,0,10,1,0,0,31.7,3170000
Toyota,Corolla,Altis Grande 1.8,2024,0,1800,Automatic,Petrol,5420,Islamabad,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,touchup_no_putty,touchup_no_putty,3,0,0,3,1,0,0,70.95,7095000
Toyota,Prado,TX 2.7,2013,11,2700,Automatic,Petrol,170177,Islamabad,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,genuine,genuine,3,0,0,3,1,0,0,140.6,14060000
Suzuki,Alto,VXR,2021,3,660,Manual,Petrol,52645,Lahore,putty,touchup_no_putty,putty,putty,putty,putty,putty,replaced,putty,putty,putty,1,9,1,11,1,1,0,8.65,865000
Toyota,Corolla,GLi 1.3,2015,9,1300,Manual,Petrol,130923,Islamabad,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,25.0,2500000
Hyundai,Sonata,2.5,2023,1,2500,Automatic,Petrol,11550,Islamabad,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,2,0,0,2,1,0,0,99.45,9945000
Daihatsu,Cuore,CX Eco,2004,20,800,Manual,Petrol,273317,Islamabad,touchup_no_putty,genuine,touchup_no_putty,touchup_no_putty,putty,touchup_no_putty,putty,putty,putty,putty,putty,4,6,0,10,1,0,0,3.8,380000
Honda,City,1.3 i-VTEC,2020,4,1300,Manual,Petrol,63668,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,putty,genuine,touchup_no_putty,1,1,0,2,1,0,0,25.25,2525000
Suzuki,Cultus,Auto Gear Shift,2022,2,1000,Automatic,Petrol,9891,Rawalpindi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,touchup_no_putty,3,0,0,3,1,0,0,40.25,4025000
Honda,Civic,Oriel 1.5 Turbo (11th Gen),2022,2,1500,Automatic,Petrol,26185,Rawalpindi,putty,genuine,touchup_no_putty,putty,touchup_no_putty,putty,putty,touchup_no_putty,putty,putty,putty,3,7,0,10,1,0,0,51.5,5150000
Suzuki,Swift,GLX CVT,2024,0,1200,Automatic,Petrol,1650,Rawalpindi,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,genuine,genuine,genuine,genuine,genuine,2,0,0,2,1,0,0,45.1,4510000
KIA,Stonic,EX+,2022,2,1400,Automatic,Petrol,23482,Karachi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,1,0,0,1,1,0,0,44.45,4445000
Suzuki,Alto,VXL AGS,2023,1,660,Automatic,Petrol,4296,Rawalpindi,touchup_no_putty,genuine,putty,putty,touchup_no_putty,replaced,putty,touchup_no_putty,replaced,putty,touchup_no_putty,4,4,2,10,1,0,0,17.95,1795000
Toyota,Corolla,GLi 1.3 Automatic,2014,10,1300,Automatic,Petrol,157582,Islamabad,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,25.4,2540000
MG,HS,Exclusive 1.5 Turbo,2023,1,1500,Automatic,Petrol,3000,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,67.7,6770000
Suzuki,Swift (Old),DLX 1.3,2020,4,1300,Manual,Petrol,52223,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,putty,genuine,0,1,0,1,1,0,0,18.95,1895000
Suzuki,Swift,GLX CVT,2023,1,1200,Automatic,Petrol,23347,Karachi,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,touchup_no_putty,genuine,genuine,genuine,genuine,genuine,3,0,0,3,1,0,0,39.25,3925000
Suzuki,Swift,GLX CVT,2024,0,1200,Automatic,Petrol,1559,Islamabad,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,putty,genuine,0,1,0,1,1,0,0,49.1,4910000
KIA,Sportage,FWD,2020,4,2000,Automatic,Petrol,50475,Lahore,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,touchup_no_putty,genuine,genuine,genuine,2,0,0,2,1,0,0,55.3,5530000
Toyota,Yaris,ATIV 1.3 CVT,2020,4,1300,Automatic,Petrol,44103,Peshawar,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,37.95,3795000
Toyota,Corolla,GLi 1.3 Automatic,2017,7,1300,Automatic,Petrol,105086,Islamabad,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,touchup_no_putty,genuine,genuine,3,0,0,3,1,0,0,27.1,2710000
Hyundai,Elantra,GLS 2.0,2023,1,2000,Automatic,Petrol,11541,Lahore,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,3,0,0,3,1,0,0,60.7,6070000
Toyota,Hilux,Revo Rocco,2019,5,2800,Automatic,Diesel,79957,Lahore,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,touchup_no_putty,genuine,touchup_no_putty,3,0,0,3,1,0,0,124.25,12425000
Toyota,Corolla,GLi 1.3 Automatic,2018,6,1300,Automatic,Petrol,64900,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,1,0,0,1,1,0,0,28.7,2870000
Honda,City,1.3 i-VTEC,2012,12,1300,Manual,Petrol,132504,Islamabad,touchup_no_putty,genuine,putty,genuine,putty,genuine,genuine,genuine,genuine,genuine,genuine,1,2,0,3,1,0,0,16.45,1645000
KIA,Stonic,EX+,2023,1,1400,Automatic,Petrol,11907,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,52.3,5230000
Suzuki,Alto,VXR,2020,4,660,Manual,Petrol,35808,Multan,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,1,0,0,1,1,0,0,20.4,2040000
Honda,Civic,Reborn 1.8 Prosmatec,2008,16,1800,Automatic,Petrol,187182,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,1,0,0,1,1,0,0,10.8,1080000
KIA,Sportage,AWD,2019,5,2000,Automatic,Petrol,58278,Lahore,touchup_no_putty,genuine,genuine,genuine,genuine,genuine,genuine,genuine,putty,putty,genuine,1,2,0,3,1,0,0,57.65,5765000
Daihatsu,Mira,ES,2018,6,660,Automatic,Petrol,91775,Karachi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,20.0,2000000
Suzuki,Swift (Old),DLX 1.3,2012,12,1300,Manual,Petrol,201444,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,12.65,1265000
Suzuki,Cultus,Auto Gear Shift,2018,6,1000,Automatic,Petrol,95518,Peshawar,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,touchup_no_putty,genuine,genuine,2,0,0,2,1,0,0,27.1,2710000
Toyota,Corolla,GLi 1.3,2016,8,1300,Manual,Petrol,136864,Lahore,genuine,genuine,genuine,putty,genuine,touchup_no_putty,putty,genuine,genuine,touchup_no_putty,genuine,2,2,0,4,1,0,0,21.1,2110000
Toyota,Prado,TX 2.7,2020,4,2700,Automatic,Petrol,57761,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,196.05,19605000
Toyota,Yaris,ATIV X 1.5 CVT,2024,0,1500,Automatic,Petrol,2650,Lahore,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,touchup_no_putty,genuine,putty,genuine,2,1,0,3,1,0,0,51.35,5135000
Suzuki,Swift,GLX CVT,2023,1,1200,Automatic,Petrol,34991,Karachi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,1,0,0,1,1,0,0,41.2,4120000
Hyundai,Sonata,2.5,2024,0,2500,Automatic,Petrol,7983,Rawalpindi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,104.5,10450000
Honda,City,1.3 i-VTEC,2011,13,1300,Manual,Petrol,186289,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,16.4,1640000
Honda,Vezel,Hybrid Z,2014,10,1500,Automatic,Hybrid,175316,Lahore,genuine,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,touchup_no_putty,genuine,genuine,genuine,3,0,0,3,1,0,0,27.0,2700000
Honda,Vezel,Hybrid Z,2014,10,1500,Automatic,Hybrid,146343,Karachi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,genuine,2,0,0,2,1,0,0,26.9,2690000
Honda,City,1.3 i-VTEC,2016,8,1300,Manual,Petrol,120825,Islamabad,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,21.1,2110000
Suzuki,Mehran,VXR,2006,18,800,Manual,Petrol,196971,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,4.85,485000
Honda,Civic,Oriel 1.5 Turbo (11th Gen),2022,2,1500,Automatic,Petrol,33432,Rawalpindi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,80.55,8055000
Toyota,Prado,TX 2.7,2008,16,2700,Automatic,Petrol,243934,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,117.2,11720000
